label,pattern,attr,replace,notes
life_stage,sub adult by plumage,lower,Adult,
life_stage,sub-adult,lower,Adult,
life_stage,subad,lower,Adult,
life_stage,subad.,lower,Adult,
life_stage,subad.sk.pt.os.,lower,Adult,
life_stage,subadult,lower,Adult,
life_stage,u,lower,Juvenile,
life_stage,u a.,lower,Adult,
life_stage,u ad,lower,Adult,
life_stage,u ad.,lower,Adult,
life_stage,u ad.sk.,lower,Adult,
life_stage,u af,lower,Adult,
life_stage,u hatchling,lower,Juvenile,
life_stage,u imm,lower,Juvenile,
life_stage,u imm.,lower,Juvenile,
life_stage,u juv.,lower,Juvenile,
life_stage,u juv.?,lower,Juvenile,
life_stage,u sd,lower,Juvenile,
life_stage,u sk.shot,lower,Juvenile,
life_stage,u-ad,lower,Adult,
life_stage,u-ad.,lower,Adult,
life_stage,u-ad.; s.o.,lower,Adult,
life_stage,u-ad.; sk.os.,lower,Adult,
life_stage,u-ad.; sk.oss.,lower,Adult,
life_stage,u-fledgling,lower,Juvenile,
life_stage,u-imm,lower,Juvenile,
life_stage,u-imm?,lower,Juvenile,
life_stage,u-imm.,lower,Juvenile,
life_stage,u-juv,lower,Juvenile,
life_stage,u-juv.,lower,Juvenile,
life_stage,u-juv.; sk.unos.,lower,Juvenile,
life_stage,u-juv.; sk.unoss,lower,Juvenile,
life_stage,u-nestling,lower,Juvenile,
life_stage,u-subad,lower,Adult,
life_stage,uad,lower,Adult,
life_stage,uad.,lower,Adult,
life_stage,unossified,lower,Juvenile,
life_stage,unossified skull,lower,Juvenile,
life_stage,unossified; immature,lower,Juvenile,
life_stage,yg,lower,Juvenile,
life_stage,yg.,lower,Juvenile,
life_stage,young,lower,Juvenile,
life_stage,young adult,lower,Juvenile,
life_stage,young of year,lower,Juvenile,
